owner,initiatives,avg_aos,avg_otd,revenue
PMM_11,2,0.9154375,95.04166666666667,12764207.17
PMM_15,2,0.9114583333333334,94.36874999999999,10128511.08
PMM_13,6,0.8975555555555554,93.94444444444444,42928385.91
PMM_12,5,0.883975,93.49833333333332,41271297.48
PMM_05,4,0.8812083333333334,92.93229166666667,26676232.13
PMM_10,4,0.8811458333333334,93.46875,22570204.54
PMM_06,6,0.871638888888889,93.35555555555555,31922043.57
PMM_16,7,0.8692321428571429,92.76964285714286,44682287.12
PMM_04,7,0.8679107142857143,93.125,41032335.54
PMM_14,5,0.8628250000000001,92.94916666666667,33148253.56
PMM_17,5,0.8610000000000001,91.81583333333333,31748204.23
PMM_09,2,0.8600625000000001,93.20625,14534005.89
PMM_02,3,0.85575,92.13055555555555,15187100.11
PMM_07,3,0.8520277777777778,91.28472222222223,22569970.16
PMM_08,3,0.8428055555555556,91.78194444444445,25719389.06
PMM_03,5,0.8423166666666667,91.05416666666666,42430277.96
PMM_18,3,0.8256111111111112,89.33611111111111,19492170.0
PMM_01,2,0.8254375,90.15208333333334,22731052.24
PMM_19,3,0.8197083333333333,88.13611111111112,14283946.88
PMM_20,3,0.8048333333333333,89.88611111111112,21299495.25
