sku,price_change_pct,baseline_quantity,baseline_revenue,baseline_avg_price,quantity_change_pct,scenario_quantity,scenario_revenue,revenue_change,revenue_change_pct
BIO-001,-10.0,8991,13877932.040000001,1543.5359848737628,7.563040303940216,9670.992953727266,13434773.070184771,-443158.96981523,-3.193263726453801
BIO-001,-5.0,8991,13877932.040000001,1543.5359848737628,3.613113150618852,9315.85500337214,13660389.556192627,-217542.4838073738,-1.5675425069121018
BIO-001,-2.0,8991,13877932.040000001,1543.5359848737628,1.4077955590648505,9117.57489871552,13791838.851930175,-86093.18806982599,-0.6203603521164526
BIO-001,0.0,8991,13877932.040000001,1543.5359848737628,0.0,8991.0,13877932.040000001,0.0,0.0
BIO-001,2.0,8991,13877932.040000001,1543.5359848737628,-1.360947800621437,8868.637183246126,13962841.841712482,84909.8017124813,0.6118332433661442
BIO-001,5.0,8991,13877932.040000001,1543.5359848737628,-3.3198042548880036,8692.51639944302,14088072.4547279,210140.41472789831,1.5142055323676185
BIO-001,10.0,8991,13877932.040000001,1543.5359848737628,-6.382450316880995,8417.15389200923,14291397.914790144,413465.8747901432,2.979304651430929
BIO-002,-10.0,10421,38359235.67,3680.9553468956915,7.563040303940216,11209.14443007361,37134324.11160496,-1224911.558395043,-3.193263726453815
BIO-002,-5.0,10421,38359235.67,3680.9553468956915,3.613113150618852,10797.52252142599,37757938.34554616,-601297.3244538382,-1.567542506912099
BIO-002,-2.0,10421,38359235.67,3680.9553468956915,1.4077955590648505,10567.706375210148,38121270.18052841,-237965.489471592,-0.6203603521164529
BIO-002,0.0,10421,38359235.67,3680.9553468956915,0.0,10421.0,38359235.67,0.0,0.0
BIO-002,2.0,10421,38359235.67,3680.9553468956915,-1.360947800621437,10279.17562969724,38593930.22573022,234694.5557302162,0.6118332433661241
BIO-002,5.0,10421,38359235.67,3680.9553468956915,-3.3198042548880036,10075.043198598121,38940073.33868907,580837.6686890647,1.514205532367597
BIO-002,10.0,10421,38359235.67,3680.9553468956915,-6.382450316880995,9755.884852477831,39502074.16256966,1142838.4925696552,2.979304651430911
BIO-003,-10.0,10744,30720092.41,2859.2788914743114,7.563040303940216,11556.573050255336,29739118.842338383,-980973.567661617,-3.1932637264538
BIO-003,-5.0,10744,30720092.41,2859.2788914743114,3.613113150618852,11132.192876902489,30238541.903310575,-481550.50668942556,-1.5675425069120927
BIO-003,-2.0,10744,30720092.41,2859.2788914743114,1.4077955590648505,10895.253554865927,30529517.136554826,-190575.2734451741,-0.6203603521164477
BIO-003,0.0,10744,30720092.41,2859.2788914743114,0.0,10744.0,30720092.41,0.0,0.0
BIO-003,2.0,10744,30720092.41,2859.2788914743114,-1.360947800621437,10597.779768301232,30908048.147757176,187955.73775717616,0.6118332433661328
BIO-003,5.0,10744,30720092.41,2859.2788914743114,-3.3198042548880036,10387.320230854833,31185257.748820662,465165.33882066235,1.5142055323676102
BIO-003,10.0,10744,30720092.41,2859.2788914743114,-6.382450316880995,10058.269537954306,31635337.552095007,915245.142095007,2.97930465143092
BIO-004,-10.0,11134,26231313.669999998,2355.964942518412,7.563040303940216,11976.068907440704,25393678.64560357,-837635.024396427,-3.1932637264538
BIO-004,-5.0,11134,26231313.669999998,2355.964942518412,3.613113150618852,11536.284018189903,25820126.67810131,-411186.9918986894,-1.5675425069120812
BIO-004,-2.0,11134,26231313.669999998,2355.964942518412,1.4077955590648505,11290.743957546281,26068585.00015202,-162728.66984797642,-0.6203603521164269
BIO-004,0.0,11134,26231313.669999998,2355.964942518412,0.0,11134.0,26231313.669999998,0.0,0.0
BIO-004,2.0,11134,26231313.669999998,2355.964942518412,-1.360947800621437,10982.472071878808,26391805.567204703,160491.89720470458,0.6118332433661322
BIO-004,5.0,11134,26231313.669999998,2355.964942518412,-3.3198042548880036,10764.37299426077,26628509.672803838,397196.00280383974,1.5142055323676047
BIO-004,10.0,11134,26231313.669999998,2355.964942518412,-6.382450316880995,10423.37798171847,27012824.41830174,781510.7483017407,2.9793046514309047
BIO-005,-10.0,11266,8060775.640000001,715.4957962009587,7.563040303940216,12118.052120641905,7803373.815417056,-257401.82458294462,-3.193263726453806
BIO-005,-5.0,11266,8060775.640000001,715.4957962009587,3.613113150618852,11673.05332754872,7934419.555456185,-126356.08454381581,-1.567542506912099
BIO-005,-2.0,11266,8060775.640000001,715.4957962009587,1.4077955590648505,11424.602247684246,8010769.783856381,-50005.856143619865,-0.6203603521164356
BIO-005,0.0,11266,8060775.640000001,715.4957962009587,0.0,11266.0,8060775.640000001,0.0,0.0
BIO-005,2.0,11266,8060775.640000001,715.4957962009587,-1.360947800621437,11112.675620781989,8110094.14503868,49318.50503867958,0.6118332433661381
BIO-005,5.0,11266,8060775.640000001,715.4957962009587,-3.3198042548880036,10891.990852644318,8182832.350692621,122056.71069262084,1.5142055323676125
BIO-005,10.0,11266,8060775.640000001,715.4957962009587,-6.382450316880995,10546.953147300188,8300930.703583932,240155.06358393095,2.979304651430925
BIO-006,-10.0,8308,5910383.03,711.4086458834859,7.563040303940216,8936.337388451353,5721648.912608529,-188734.11739147082,-3.1932637264537966
BIO-006,-5.0,8308,5910383.03,711.4086458834859,3.613113150618852,8608.177440553414,5817735.263683432,-92647.76631656848,-1.5675425069120854
BIO-006,-2.0,8308,5910383.03,711.4086458834859,1.4077955590648505,8424.959655047107,5873717.357023661,-36665.672976339236,-0.6203603521164556
BIO-006,0.0,8308,5910383.03,711.4086458834859,0.0,8308.0,5910383.03,0.0,0.0
BIO-006,2.0,8308,5910383.03,711.4086458834859,-1.360947800621437,8194.932456724371,5946544.718187812,36161.688187811524,0.6118332433661499
BIO-006,5.0,8308,5910383.03,711.4086458834859,-3.3198042548880036,8032.190662503905,5999878.376824376,89495.34682437591,1.514205532367602
BIO-006,10.0,8308,5910383.03,711.4086458834859,-6.382450316880995,7777.746027673527,6086471.346530175,176088.31653017458,2.979304651430934
BIO-007,-10.0,10541,3662326.73,347.43636561996016,7.563040303940216,11338.220078438339,3545378.978986688,-116947.75101331202,-3.1932637264538113
BIO-007,-5.0,10541,3662326.73,347.43636561996016,3.613113150618852,10921.858257206733,3604918.201765246,-57408.52823475376,-1.5675425069120952
BIO-007,-2.0,10541,3662326.73,347.43636561996016,1.4077955590648505,10689.395729881026,3639607.1070021167,-22719.62299788324,-0.6203603521164602
BIO-007,0.0,10541,3662326.73,347.43636561996016,0.0,10541.0,3662326.73,0.0,0.0
BIO-007,2.0,10541,3662326.73,347.43636561996016,-1.360947800621437,10397.542492336494,3684734.062414824,22407.33241482405,0.6118332433661386
BIO-007,5.0,10541,3662326.73,347.43636561996016,-3.3198042548880036,10191.059433492255,3717781.8839590373,55455.15395903727,1.514205532367596
